Node Number,x,y,z,Dynamic Pressure
319650.0,0.46,0.02,0.0,1.12
323800.0,0.47,0.02,0.0,0.803
328050.0,0.48,0.02,0.0,0.898
336250.0,0.49,0.02,0.0,0.21
340400.0,0.51,0.02,0.0,0.115
150.0,0.0,0.03,0.0,0.434
4300.0,0.01,0.03,0.0,0.641
8450.0,0.02,0.03,0.0,0.893
12600.0,0.03,0.03,0.0,1.18
16750.0,0.04,0.03,0.0,1.49
20900.0,0.05,0.03,0.0,1.82
25050.0,0.06,0.03,0.0,2.13
29200.0,0.07,0.03,0.0,2.41
33350.0,0.08,0.03,0.0,2.65
37650.0,0.09,0.03,0.0,2.8403609999999997
45950.0,0.1,0.03,0.0,2.980569
54250.0,0.11,0.03,0.0,3.12204
62550.0,0.12,0.03,0.0,3.30721
70850.0,0.13,0.03,0.0,3.6
79150.0,0.14,0.03,0.0,4.0153
87450.0,0.15,0.03,0.0,4.56
95600.0,0.16,0.03,0.0,0.163
99900.0,0.17,0.03,0.0,5.306
108200.0,0.18,0.03,0.0,5.974
116500.0,0.19,0.03,0.0,6.541
124800.0,0.2,0.03,0.0,6.923
133100.0,0.21,0.03,0.0,7.05
141400.0,0.22,0.03,0.0,6.94
149700.0,0.23,0.03,0.0,6.65
158000.0,0.24,0.03,0.0,6.22
166150.0,0.25,0.03,0.0,2.41
170450.0,0.26,0.03,0.0,5.98
178900.0,0.27,0.03,0.0,7.4799999999999995
191200.0,0.28,0.03,0.0,4.47
199500.0,0.29,0.03,0.0,4.18
207800.0,0.3,0.03,0.0,4.023
216100.0,0.31,0.03,0.0,4.046
224400.0,0.32,0.03,0.0,4.251
232700.0,0.33,0.03,0.0,4.627
240850.0,0.34,0.03,0.0,0.0785
245150.0,0.35,0.03,0.0,5.0648
253600.0,0.36,0.03,0.0,11.453700000000001
265900.0,0.38,0.03,0.0,6.03615
274200.0,0.39,0.03,0.0,5.87432
282650.0,0.4,0.03,0.0,5.45442
294950.0,0.41,0.03,0.0,4.830967
303100.0,0.42,0.03,0.0,4.09
307250.0,0.43,0.03,0.0,3.33
311400.0,0.44,0.03,0.0,2.63
315550.0,0.45,0.03,0.0,2.01
319700.0,0.46,0.03,0.0,1.49
323850.0,0.47,0.03,0.0,1.06
328150.0,0.48,0.03,0.0,1.189
336300.0,0.49,0.03,0.0,0.281
340450.0,0.51,0.03,0.0,0.157
200.0,0.0,0.04,0.0,0.592
4350.0,0.01,0.04,0.0,0.877
8500.0,0.02,0.04,0.0,1.23
12650.0,0.03,0.04,0.0,1.64
16800.0,0.04,0.04,0.0,2.1
20950.0,0.05,0.04,0.0,2.6
25100.0,0.06,0.04,0.0,3.11
29250.0,0.07,0.04,0.0,3.58
33400.0,0.08,0.04,0.0,3.99
37750.0,0.09,0.04,0.0,4.300469
46050.0,0.1,0.04,0.0,4.530683000000001
54350.0,0.11,0.04,0.0,4.76228
62650.0,0.12,0.04,0.0,5.05901
70950.0,0.13,0.04,0.0,5.5362
79250.0,0.14,0.04,0.0,6.2302
87550.0,0.15,0.04,0.0,7.111000000000001
95650.0,0.16,0.04,0.0,0.221
100000.0,0.17,0.04,0.0,8.245000000000001
108300.0,0.18,0.04,0.0,9.222000000000001
116600.0,0.19,0.04,0.0,9.987
124900.0,0.2,0.04,0.0,10.41
133200.0,0.21,0.04,0.0,10.440000000000001
141500.0,0.22,0.04,0.0,10.12
149800.0,0.23,0.04,0.0,9.55
158100.0,0.24,0.04,0.0,8.86
166200.0,0.25,0.04,0.0,3.58
170550.0,0.26,0.04,0.0,8.55
179050.0,0.27,0.04,0.0,10.41
191300.0,0.28,0.04,0.0,6.43
199600.0,0.29,0.04,0.0,6.1
207900.0,0.3,0.04,0.0,5.962
216200.0,0.31,0.04,0.0,6.099
224500.0,0.32,0.04,0.0,6.527
232800.0,0.33,0.04,0.0,7.191
240900.0,0.34,0.04,0.0,0.103
245250.0,0.35,0.04,0.0,7.9171000000000005
253750.0,0.36,0.04,0.0,17.759
266000.0,0.38,0.04,0.0,9.1886
274300.0,0.39,0.04,0.0,8.806230000000001
282800.0,0.4,0.04,0.0,8.026299999999999
295050.0,0.41,0.04,0.0,6.95134
303150.0,0.42,0.04,0.0,5.75
307300.0,0.43,0.04,0.0,4.56
311450.0,0.44,0.04,0.0,3.5
315600.0,0.45,0.04,0.0,2.61
319750.0,0.46,0.04,0.0,1.9
323900.0,0.47,0.04,0.0,1.34
328250.0,0.48,0.04,0.0,1.501
336350.0,0.49,0.04,0.0,0.357
