Node Number,x,y,z,Dynamic Pressure
4598.0,0.078,0.037,0.0,2.41
5079.0,0.088,0.037,0.0,2.65
5592.0,0.099,0.037,0.0,2.84
6138.0,0.109,0.037,0.0,2.98
6718.0,0.119,0.037,0.0,3.12
7333.0,0.129,0.037,0.0,3.3
7984.0,0.139,0.037,0.0,3.58
8672.0,0.15,0.037,0.0,3.97
9398.0,0.16,0.037,0.0,4.47
10163.0,0.17,0.037,0.0,5.03
10968.0,0.18,0.037,0.0,5.54
11814.0,0.19,0.037,0.0,5.9
12702.0,0.201,0.037,0.0,6.03
13633.0,0.211,0.037,0.0,5.87
14608.0,0.221,0.037,0.0,5.45
15628.0,0.231,0.037,0.0,4.83
16694.0,0.241,0.037,0.0,4.09
5079.0,0.259,0.037,0.0,2.65
5592.0,0.269,0.037,0.0,2.84
6138.0,0.279,0.037,0.0,2.98
6718.0,0.289,0.037,0.0,3.12
7333.0,0.299,0.037,0.0,3.3
7984.0,0.309,0.037,0.0,3.58
8672.0,0.32,0.037,0.0,3.97
9398.0,0.33,0.037,0.0,4.47
10163.0,0.34,0.037,0.0,5.03
10968.0,0.35,0.037,0.0,5.54
11814.0,0.361,0.037,0.0,5.9
12702.0,0.371,0.037,0.0,6.03
13633.0,0.381,0.037,0.0,5.87
14608.0,0.391,0.037,0.0,5.45
15628.0,0.401,0.037,0.0,4.83
16694.0,0.412,0.037,0.0,4.09
17807.0,0.422,0.037,0.0,3.33
18968.0,0.432,0.037,0.0,2.63
20178.0,0.442,0.037,0.0,2.01
21438.0,0.452,0.037,0.0,1.49
22749.0,0.463,0.037,0.0,1.06
24112.0,0.473,0.037,0.0,0.723
25524.0,0.483,0.037,0.0,0.466
26978.0,0.493,0.037,0.0,0.281
2316.0,0.007,0.048,0.0,0.592
2625.0,0.017,0.048,0.0,0.877
2960.0,0.027,0.048,0.0,1.23
3322.0,0.037,0.048,0.0,1.64
3712.0,0.048,0.048,0.0,2.1
4131.0,0.058,0.048,0.0,2.6
4580.0,0.068,0.048,0.0,3.11
5060.0,0.078,0.048,0.0,3.58
5572.0,0.088,0.048,0.0,3.99
6117.0,0.099,0.048,0.0,4.3
6696.0,0.109,0.048,0.0,4.53
7310.0,0.119,0.048,0.0,4.76
7960.0,0.129,0.048,0.0,5.05
8647.0,0.139,0.048,0.0,5.51
9372.0,0.15,0.048,0.0,6.17
10136.0,0.16,0.048,0.0,6.99
10940.0,0.17,0.048,0.0,7.87
11785.0,0.18,0.048,0.0,8.63
12672.0,0.19,0.048,0.0,9.11
13602.0,0.201,0.048,0.0,9.18
14576.0,0.211,0.048,0.0,8.8
15595.0,0.221,0.048,0.0,8.02
16660.0,0.231,0.048,0.0,6.95
17772.0,0.241,0.048,0.0,5.75
5572.0,0.259,0.048,0.0,3.99
6117.0,0.269,0.048,0.0,4.3
6696.0,0.279,0.048,0.0,4.53
7310.0,0.289,0.048,0.0,4.76
7960.0,0.299,0.048,0.0,5.05
8647.0,0.309,0.048,0.0,5.51
9372.0,0.32,0.048,0.0,6.17
10136.0,0.33,0.048,0.0,6.99
10940.0,0.34,0.048,0.0,7.87
11785.0,0.35,0.048,0.0,8.63
12672.0,0.361,0.048,0.0,9.11
13602.0,0.371,0.048,0.0,9.18
14576.0,0.381,0.048,0.0,8.8
15595.0,0.391,0.048,0.0,8.02
16660.0,0.401,0.048,0.0,6.95
17772.0,0.412,0.048,0.0,5.75
18932.0,0.422,0.048,0.0,4.56
20141.0,0.432,0.048,0.0,3.5
21400.0,0.442,0.048,0.0,2.61
22710.0,0.452,0.048,0.0,1.9
24072.0,0.463,0.048,0.0,1.34
25483.0,0.473,0.048,0.0,0.912
26936.0,0.483,0.048,0.0,0.589
28431.0,0.493,0.048,0.0,0.357
2613.0,0.007,0.058,0.0,0.769
2947.0,0.017,0.058,0.0,1.15
3308.0,0.027,0.058,0.0,1.62
3697.0,0.037,0.058,0.0,2.19
4115.0,0.048,0.058,0.0,2.88
4563.0,0.058,0.058,0.0,3.65
5042.0,0.068,0.058,0.0,4.46
5553.0,0.078,0.058,0.0,5.25
6097.0,0.088,0.058,0.0,5.93
6675.0,0.099,0.058,0.0,6.46
7288.0,0.109,0.058,0.0,6.84
7937.0,0.119,0.058,0.0,7.21
8623.0,0.129,0.058,0.0,7.69
9347.0,0.139,0.058,0.0,8.45
10110.0,0.15,0.058,0.0,9.5
10913.0,0.16,0.058,0.0,10.8
11757.0,0.17,0.058,0.0,12.1
12643.0,0.18,0.058,0.0,13.1
13572.0,0.19,0.058,0.0,13.7
14545.0,0.201,0.058,0.0,13.6
15563.0,0.211,0.058,0.0,12.8
16627.0,0.221,0.058,0.0,11.4
17738.0,0.231,0.058,0.0,9.69
18897.0,0.241,0.058,0.0,7.83
6097.0,0.259,0.058,0.0,5.93
6675.0,0.269,0.058,0.0,6.46
7288.0,0.279,0.058,0.0,6.84
7937.0,0.289,0.058,0.0,7.21
8623.0,0.299,0.058,0.0,7.69
9347.0,0.309,0.058,0.0,8.45
10110.0,0.32,0.058,0.0,9.5
10913.0,0.33,0.058,0.0,10.8
11757.0,0.34,0.058,0.0,12.1
12643.0,0.35,0.058,0.0,13.1
13572.0,0.361,0.058,0.0,13.7
14545.0,0.371,0.058,0.0,13.6
15563.0,0.381,0.058,0.0,12.8
16627.0,0.391,0.058,0.0,11.4
17738.0,0.401,0.058,0.0,9.69
18897.0,0.412,0.058,0.0,7.83
20105.0,0.422,0.058,0.0,6.06
21363.0,0.432,0.058,0.0,4.53
22672.0,0.442,0.058,0.0,3.29
24033.0,0.452,0.058,0.0,2.34
25443.0,0.463,0.058,0.0,1.63
