x,y,z,dynamic pressure
0.0,0.03,0.09,0.00243
0.0,0.03,0.1,0.00335
0.0,0.03,0.11,0.00444
0.0,0.03,0.12,0.00565
0.0,0.03,0.13,0.00693
0.0,0.03,0.14,0.00818
0.0,0.03,0.15,0.00932
0.0,0.03,0.16,0.0103
0.0,0.03,0.17,0.0111
0.0,0.03,0.18,0.0116
0.0,0.03,0.19,0.012
0.0,0.03,0.2,0.0121
0.0,0.03,0.21,0.0121
0.0,0.03,0.22,0.0119
0.0,0.03,0.23,0.0116
0.0,0.03,0.24,0.0112
0.0,0.03,0.25,0.0108
0.0,0.03,0.26,0.0103
0.0,0.03,0.27,0.00987
0.0,0.03,0.28,0.00941
0.0,0.03,0.29,0.00898
0.0,0.03,0.3,0.00858
0.0,0.03,0.31,0.00821
0.0,0.03,0.32,0.00788
0.0,0.03,0.33,0.00759
0.0,0.03,0.34,0.00733
0.0,0.03,0.35000000000000003,0.00711
0.0,0.03,0.36,0.00691
0.0,0.03,0.37,0.00673
0.0,0.03,0.38,0.00657
0.0,0.03,0.39,0.00641
0.0,0.03,0.4,0.00626
0.0,0.03,0.41000000000000003,0.00611
0.0,0.03,0.42,0.00595
0.0,0.03,0.43,0.00578
0.0,0.03,0.44,0.0056
0.0,0.03,0.45,0.00541
0.0,0.03,0.46,0.0052
0.0,0.03,0.47000000000000003,0.005
0.0,0.03,0.48,0.0048
0.0,0.03,0.49,0.00469
0.0,0.04,0.0,5.37e-06
0.0,0.04,0.01,1.65e-05
0.0,0.04,0.02,6.78e-05
0.0,0.04,0.03,0.000181
0.0,0.04,0.04,0.000385
0.0,0.04,0.05,0.000706
0.0,0.04,0.06,0.00118
0.0,0.04,0.07,0.00186
0.0,0.04,0.08,0.00277
0.0,0.04,0.09,0.00397
0.0,0.04,0.1,0.00544
0.0,0.04,0.11,0.00717
0.0,0.04,0.12,0.00908
0.0,0.04,0.13,0.0111
0.0,0.04,0.14,0.013
0.0,0.04,0.15,0.0147
0.0,0.04,0.16,0.0162
0.0,0.04,0.17,0.0174
0.0,0.04,0.18,0.0182
0.0,0.04,0.19,0.0187
0.0,0.04,0.2,0.0189
0.0,0.04,0.21,0.0189
0.0,0.04,0.22,0.0186
0.0,0.04,0.23,0.0182
0.0,0.04,0.24,0.0176
0.0,0.04,0.25,0.017
0.0,0.04,0.26,0.0163
0.0,0.04,0.27,0.0156
0.0,0.04,0.28,0.0149
0.0,0.04,0.29,0.0142
0.0,0.04,0.3,0.0136
0.0,0.04,0.31,0.0131
0.0,0.04,0.32,0.0126
0.0,0.04,0.33,0.0121
0.0,0.04,0.34,0.0117
0.0,0.04,0.35000000000000003,0.0114
0.0,0.04,0.36,0.0111
0.0,0.04,0.37,0.0108
