Node Number,x,y,z,Dynamic Pressure
8977.0,0.337,0.02,0.,0.00258
9713.0,0.347,0.02,0.,0.00203
10488.0,0.357,0.02,0.,0.00186
11303.0,0.367,0.02,0.,0.00184
12159.0,0.378,0.02,0.,0.00145
13057.0,0.388,0.02,0.,0.000907
13998.0,0.398,0.02,0.,0.000568
14983.0,0.408,0.02,0.,0.000386
16013.0,0.418,0.02,0.,0.000224
17089.0,0.429,0.02,0.,0.000122
18212.0,0.439,0.02,0.,7.07e-05
19383.0,0.449,0.02,0.,4.59e-05
20603.0,0.459,0.02,0.,3.35e-05
21873.0,0.469,0.02,0.,2.54e-05
23194.0,0.48,0.02,0.,1.84e-05
24567.0,0.49,0.02,0.,1.1e-05
25989.0,0.5,0.02,0.,6.86e-06
44.0,0.,0.031,0.,3.37e-06
42.0,0.010,0.031,0.,8.74e-06
67.0,0.02,0.031,0.,2.54e-05
97.0,0.031,0.031,0.,5.62e-05
136.0,0.041,0.031,0.,0.000107
185.0,0.051,0.031,0.,0.00019
245.0,0.061,0.031,0.,0.000321
317.0,0.071,0.031,0.,0.000541
402.0,0.082,0.031,0.,0.000864
501.0,0.092,0.031,0.,0.0013
615.0,0.102,0.031,0.,0.00192
745.0,0.112,0.031,0.,0.00288
892.0,0.122,0.031,0.,0.0044
1057.0,0.133,0.031,0.,0.0068
1241.0,0.143,0.031,0.,0.00963
1445.0,0.153,0.031,0.,0.0125
1670.0,0.163,0.031,0.,0.0151
1917.0,0.173,0.031,0.,0.0179
2187.0,0.184,0.031,0.,0.0212
2481.0,0.194,0.031,0.,0.0245
2800.0,0.204,0.031,0.,0.0274
3145.0,0.214,0.031,0.,0.0292
3517.0,0.225,0.031,0.,0.0293
3917.0,0.235,0.031,0.,0.028
4346.0,0.245,0.031,0.,0.0249
4805.0,0.255,0.031,0.,0.0211
5295.0,0.265,0.031,0.,0.0184
5817.0,0.276,0.031,0.,0.0157
6372.0,0.286,0.031,0.,0.0125
6961.0,0.296,0.031,0.,0.00959
7585.0,0.306,0.031,0.,0.00943
8245.0,0.316,0.031,0.,0.0117
8942.0,0.327,0.031,0.,0.0129
9677.0,0.337,0.031,0.,0.0125
10451.0,0.347,0.031,0.,0.0112
11265.0,0.357,0.031,0.,0.00974
12120.0,0.367,0.031,0.,0.00802
13017.0,0.378,0.031,0.,0.00591
13957.0,0.388,0.031,0.,0.00395
14941.0,0.398,0.031,0.,0.0025
15970.0,0.408,0.031,0.,0.00133
17045.0,0.418,0.031,0.,0.000565
18167.0,0.429,0.031,0.,0.0003
19337.0,0.439,0.031,0.,0.000164
20556.0,0.449,0.031,0.,0.000101
21825.0,0.459,0.031,0.,7.23e-05
23145.0,0.469,0.031,0.,5.61e-05
24517.0,0.48,0.031,0.,4.23e-05
25938.0,0.49,0.031,0.,2.65e-05
27401.0,0.5,0.031,0.,1.74e-05
62.0,0.,0.041,0.,5.37e-06
60.0,0.010,0.041,0.,1.27e-05
92.0,0.02,0.041,0.,3.51e-05
130.0,0.031,0.041,0.,7.89e-05
178.0,0.041,0.041,0.,0.000158
237.0,0.051,0.041,0.,0.000301
308.0,0.061,0.041,0.,0.000529
392.0,0.071,0.041,0.,0.000902
490.0,0.082,0.041,0.,0.00141
603.0,0.092,0.041,0.,0.00205
732.0,0.102,0.041,0.,0.00292
878.0,0.112,0.041,0.,0.00411
1042.0,0.122,0.041,0.,0.00604
1225.0,0.133,0.041,0.,0.0108
1428.0,0.143,0.041,0.,0.0169
1652.0,0.153,0.041,0.,0.0206
1898.0,0.163,0.041,0.,0.0206
2167.0,0.173,0.041,0.,0.0214
2460.0,0.184,0.041,0.,0.0252
2778.0,0.194,0.041,0.,0.0294
3122.0,0.204,0.041,0.,0.0328
3493.0,0.214,0.041,0.,0.0348
3892.0,0.225,0.041,0.,0.0346
4320.0,0.235,0.041,0.,0.0326
4778.0,0.245,0.041,0.,0.0291
5267.0,0.255,0.041,0.,0.029
5788.0,0.265,0.041,0.,0.0327
6342.0,0.276,0.041,0.,0.0346
6930.0,0.286,0.041,0.,0.0351
7553.0,0.296,0.041,0.,0.0361
8212.0,0.306,0.041,0.,0.0397
8908.0,0.316,0.041,0.,0.0439
9642.0,0.327,0.041,0.,0.045
10415.0,0.337,0.041,0.,0.0429
11228.0,0.347,0.041,0.,0.0381
12082.0,0.357,0.041,0.,0.0318
12978.0,0.367,0.041,0.,0.0248
13917.0,0.378,0.041,0.,0.0181
14900.0,0.388,0.041,0.,0.0123
15928.0,0.398,0.041,0.,0.0077
17002.0,0.408,0.041,0.,0.0041
18123.0,0.418,0.041,0.,0.00171
19292.0,0.429,0.041,0.,0.000676
20510.0,0.439,0.041,0.,0.000363
21778.0,0.449,0.041,0.,0.000206
23097.0,0.459,0.041,0.,0.00014
24468.0,0.469,0.041,0.,0.000107
25888.0,0.48,0.041,0.,8.11e-05
27350.0,0.49,0.041,0.,5.17e-05
28854.0,0.5,0.041,0.,3.46e-05
87.0,0.,0.051,0.,8.67e-06
85.0,0.010,0.051,0.,1.91e-05
125.0,0.02,0.051,0.,5.23e-05
172.0,0.031,0.051,0.,0.000123
230.0,0.041,0.051,0.,0.000269
300.0,0.051,0.051,0.,0.000521
383.0,0.061,0.051,0.,0.000895
480.0,0.071,0.051,0.,0.00191
592.0,0.082,0.051,0.,0.0037
720.0,0.092,0.051,0.,0.00596
865.0,0.102,0.051,0.,0.00873
1028.0,0.112,0.051,0.,0.0121
1210.0,0.122,0.051,0.,0.0167
1412.0,0.133,0.051,0.,0.025
1635.0,0.143,0.051,0.,0.035
1880.0,0.153,0.051,0.,0.0409
2148.0,0.163,0.051,0.,0.0402
2440.0,0.173,0.051,0.,0.0387
2757.0,0.184,0.051,0.,0.0408
3100.0,0.194,0.051,0.,0.0439
3470.0,0.204,0.051,0.,0.0472
3868.0,0.214,0.051,0.,0.0501
4295.0,0.225,0.051,0.,0.0522
4752.0,0.235,0.051,0.,0.0539
5240.0,0.245,0.051,0.,0.0581
5760.0,0.255,0.051,0.,0.0703
6313.0,0.265,0.051,0.,0.085
6900.0,0.276,0.051,0.,0.0957
7522.0,0.286,0.051,0.,0.105
